"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
303;57;6;20;1;608;"2024-12-02";"2024-12-02"
304;57;6;20;1;935;"2024-12-02";"2024-12-02"
305;57;6;20;1;643;"2024-12-02";"2024-12-02"
306;57;6;20;1;696;"2024-12-02";"2024-12-02"
307;57;6;20;1;698;"2024-12-02";"2024-12-02"
308;57;6;20;1;726;"2024-12-02";"2024-12-02"
309;57;6;20;1;766;"2024-12-02";"2024-12-02"
310;57;6;20;1;803;"2024-12-02";"2024-12-02"
311;57;6;20;2;936;"2024-12-02";"2024-12-02"
312;57;6;20;2;937;"2024-12-02";"2024-12-02"
313;57;6;20;2;96;"2024-12-02";"2024-12-02"
314;57;6;20;2;938;"2024-12-02";"2024-12-02"
315;57;6;20;2;182;"2024-12-02";"2024-12-02"
316;57;6;20;2;217;"2024-12-02";"2024-12-02"
317;57;6;20;2;939;"2024-12-02";"2024-12-02"
318;57;6;20;2;940;"2024-12-02";"2024-12-02"
319;57;6;20;2;236;"2024-12-02";"2024-12-02"
320;57;6;20;2;237;"2024-12-02";"2024-12-02"
321;57;6;20;2;251;"2024-12-02";"2024-12-02"
322;57;6;20;2;271;"2024-12-02";"2024-12-02"
323;57;6;20;2;317;"2024-12-02";"2024-12-02"
324;57;6;20;2;319;"2024-12-02";"2024-12-02"
325;57;6;20;2;334;"2024-12-02";"2024-12-02"
326;57;6;20;2;941;"2024-12-02";"2024-12-02"
327;57;6;20;2;406;"2024-12-02";"2024-12-02"
328;57;6;20;2;407;"2024-12-02";"2024-12-02"
329;57;6;20;2;807;"2024-12-02";"2024-12-02"
330;57;6;20;2;942;"2024-12-02";"2024-12-02"
331;57;6;20;2;602;"2024-12-02";"2024-12-02"
332;57;6;20;2;631;"2024-12-02";"2024-12-02"
333;57;6;20;2;671;"2024-12-02";"2024-12-02"
334;57;6;20;2;679;"2024-12-02";"2024-12-02"
335;57;6;20;2;719;"2024-12-02";"2024-12-02"
336;57;6;20;2;728;"2024-12-02";"2024-12-02"
337;57;6;20;2;757;"2024-12-02";"2024-12-02"
338;57;6;20;3;4;"2024-12-02";"2024-12-02"
339;57;6;20;3;7;"2024-12-02";"2024-12-02"
340;57;6;20;3;30;"2024-12-02";"2024-12-02"
341;57;6;20;3;35;"2024-12-02";"2024-12-02"
342;57;6;20;3;43;"2024-12-02";"2024-12-02"
343;57;6;20;3;59;"2024-12-02";"2024-12-02"
344;57;6;20;3;94;"2024-12-02";"2024-12-02"
345;57;6;20;3;805;"2024-12-02";"2024-12-02"
346;57;6;20;3;806;"2024-12-02";"2024-12-02"
347;57;6;20;3;451;"2024-12-02";"2024-12-02"
348;57;6;20;3;454;"2024-12-02";"2024-12-02"
349;57;6;20;3;482;"2024-12-02";"2024-12-02"
350;57;6;20;3;493;"2024-12-02";"2024-12-02"
351;57;6;20;3;808;"2024-12-02";"2024-12-02"
352;57;6;20;3;510;"2024-12-02";"2024-12-02"
353;57;6;20;3;530;"2024-12-02";"2024-12-02"
354;57;6;20;3;561;"2024-12-02";"2024-12-02"
355;57;6;20;3;587;"2024-12-02";"2024-12-02"
356;57;6;20;3;590;"2024-12-02";"2024-12-02"
357;57;6;20;3;809;"2024-12-02";"2024-12-02"
358;57;6;20;3;646;"2024-12-02";"2024-12-02"
359;57;6;20;3;810;"2024-12-02";"2024-12-02"
360;57;6;20;3;723;"2024-12-02";"2024-12-02"
361;57;6;20;3;763;"2024-12-02";"2024-12-02"
362;57;6;20;3;780;"2024-12-02";"2024-12-02"
363;57;6;21;1;811;"2024-12-02";"2024-12-02"
364;57;6;21;1;41;"2024-12-02";"2024-12-02"
365;57;6;21;1;57;"2024-12-02";"2024-12-02"
366;57;6;21;1;74;"2024-12-02";"2024-12-02"
367;57;6;21;1;197;"2024-12-02";"2024-12-02"
